,token,first_seen,last_seen,tx_count,total_value,max_value_in_tx
0,101 Dalmatia... (DALMAT...),2021-04-14 11:19:14.289,2021-04-14 11:19:14.289,1,0.002331482,0.002331482
1,ALICE (ALICE),2021-04-14 11:19:29.954,2021-04-14 11:19:29.954,1,587.64,587.64
2,AUTOv2 (AUTO),2021-04-14 11:19:08.620,2021-04-14 11:19:14.304,2,0.0667940465,0.0631445165
3,Alien Worlds... (TLM),2021-04-14 11:19:08.626,2021-04-14 11:19:35.383,3,2219.4365,1782.772
4,Antimatter.F... (MATTER),2021-04-14 11:19:03.321,2021-04-14 11:19:35.390,3,139.3038960312,109.0
5,BELT Token (BELT),2021-04-14 11:19:29.979,2021-04-14 11:19:29.979,1,0.356,0.356
6,BGOV Token (BGOV),2021-04-14 11:19:08.670,2021-04-14 11:19:08.670,1,95.2380952381,95.2380952381
7,BakeryToken (BAKE),2021-04-14 11:19:08.663,2021-04-14 11:19:14.271,2,58.1857911708,56.7841965443
8,Binance-Peg ... (BTCB),2021-04-14 11:19:29.975,2021-04-14 11:19:29.975,1,0.00071845,0.00071845
9,Binance-Peg ... (BUSD),2021-04-14 11:19:03.303,2021-04-14 11:19:35.431,24,41938.822332965334,15086.9975570955
10,Binance-Peg ... (BUSD-T),2021-04-14 11:19:03.320,2021-04-14 11:19:29.971,6,114816.4444534838,60000.0
11,Binance-Peg ... (DOGE),2021-04-14 11:19:05.655,2021-04-14 11:19:05.655,1,190.51227253,190.51227253
12,Bingo Cash (BGO),2021-04-14 11:19:35.374,2021-04-14 11:19:35.374,1,160.1997110274,160.1997110274
13,BrickChain (BRICK),2021-04-14 11:19:29.966,2021-04-14 11:19:29.966,1,19.8130841121,19.8130841121
14,Bumerang Cas... (BUMERA...),2021-04-14 11:19:21.214,2021-04-14 11:19:21.214,1,254.0,254.0
15,Bunny Token (BUNNY),2021-04-14 11:19:14.279,2021-04-14 11:19:29.974,3,0.1593801467,0.0950621156
16,ClinTex (CTI),2021-04-14 11:19:29.969,2021-04-14 11:19:29.969,1,826.712478643,826.712478643
17,CyberTime Fi... (CTF),2021-04-14 11:19:35.415,2021-04-14 11:19:35.415,1,0.0121300674,0.0121300674
18,DIAMOND (DND),2021-04-14 11:19:08.645,2021-04-14 11:19:08.645,1,0.0012067341000000001,0.0012067341000000001
19,DeFi For You... (DFY),2021-04-14 11:19:14.294,2021-04-14 11:19:14.294,1,37995.0,37995.0
20,DeadSoul Tok... (DSL),2021-04-14 11:19:08.638,2021-04-14 11:19:08.638,1,1.3248032081,1.3248032081
21,DealBox Netw... (DLBOX),2021-04-14 11:19:05.658,2021-04-14 11:19:05.658,1,5.0,5.0
22,Definix Toke... (FINIX),2021-04-14 11:19:35.395,2021-04-14 11:19:35.401,2,1457.4087763306002,1001.510349546
