,token,first_seen,last_seen,tx_count,total_value,max_value_in_tx
343,bDollar Shar... (sBDO),2021-03-11 01:29:43.251,2021-03-23 18:38:53.516,11,18.7706406401,15.1854364707
344,bearn.fi (BFI),2021-03-18 17:52:22.046,2021-03-18 17:52:22.046,1,6.887900000000001e-06,6.887900000000001e-06
345,beefy.financ... (BIFI),2021-03-11 18:09:30.296,2021-03-16 23:02:05.009,3,10.3782593788,10.0
346,belt DAI (bDAI),2021-03-18 03:35:33.359,2021-03-24 11:10:45.306,4,2.6872329981000003,0.8208685404
347,belt USDC (bUSDC),2021-03-11 11:46:57.140,2021-03-11 18:57:26.867,2,1.1912028065000002,0.6621097698
348,blizzard.mon... (BLZD),2021-03-19 14:18:28.788,2021-03-26 10:41:56.152,12,149.6383247653,106.9759688455
349,dego.finance (DEGO),2021-03-11 18:57:26.760,2021-03-11 18:57:26.760,1,0.1092094589,0.1092094589
350,farm.space (SPACE),2021-03-23 08:23:24.132,2021-03-26 18:58:09.798,4,2.0343971631,0.9904761905
351,gvVALUE-B/BU... (gvVALU...),2021-03-26 18:58:09.834,2021-03-26 18:58:09.834,1,10.7968460796,10.7968460796
352,k L test tok... (KLTT1),2021-03-17 13:17:11.945,2021-03-17 13:17:11.945,1,1.0,1.0
353,lUSD (lUSD),2021-03-10 15:12:47.566,2021-03-24 07:02:51.625,2,21958.476972261702,21952.186964142
354,lien on xDai... (LIEN),2021-03-26 10:41:56.095,2021-03-26 10:41:56.095,1,0.00125216,0.00125216
355,oxbull.tech (OXB),2021-03-25 16:07:09.511,2021-03-25 16:07:09.511,1,2448.830451747,2448.830451747
356,rSTAKD Token (rSTAKD),2021-03-11 08:37:35.582,2021-03-11 08:37:35.582,1,248.5440156256,248.5440156256
357,superpepebro... (SPB),2021-03-10 22:19:25.638,2021-03-22 13:09:04.325,6,366.3469895957782,174.7661127686
358,thesmokehous... (SMOKE),2021-03-10 16:00:47.602,2021-03-26 18:58:09.878,4,1335.375,1237.0
359,vBSWAP/WBNB ... (vBSWAP...),2021-03-21 21:25:36.981,2021-03-21 21:25:36.981,1,5.8462700000000005e-05,5.8462700000000005e-05
360,vSWAP.fi (vBSWAP),2021-03-10 20:45:53.496,2021-03-21 13:15:30.182,6,0.9143785793153304,0.4118483784
361,wolf.finance (WOLF),2021-03-23 07:41:23.753,2021-03-23 07:41:23.753,1,46950134075753.05,46950134075753.05
362,zBTC (zBTC),2021-03-20 14:47:02.746,2021-03-20 14:47:02.746,1,5.511e-05,5.511e-05
